id;RK_L1_CODE;RK_L1_NAME;RK_L2_CODE;RK_L2_NAME;RK_L3_CODE;RK_L3_NAME;S_PLAN;S_FIN;S_FACT
47;77651;Дніпровська районна в місті Київі державна адміністрація;77898;Управління охорони здоров'я Дніпровської районної в місті Київі державної адміністрації;38268;"Комунальне некомерційне підприємство ""Центр первинної медико-санітарної допомоги №1 Дніпровського району м.Київа""";0;31491438.74;31236226.98
48;77680;Печерська районна в місті Київі державна адміністрація;77739;Управління праці та соціального захисту населення Печерської районної в місті Київі державної адміністрації;38481;Організація ветеранів Печерського району м. Київа;0;112696.31;104408.96
49;54084;Київська міська рада;54084;Київська міська рада;93087;"Громадська організація ""Спорт, освіта, майбутнї""";0;1357870.66;1238240.37
50;54084;Київська міська рада;54084;Київська міська рада;92977;"Благодійна організація ""Благодійний фонд ""Дніпровська сила""";0;1475582.16;1453845.61
51;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);63811;Київська організація Спілки офіцерів України;0;49999.47;49999.47
52;77766;Деснянська районна в місті Київі державна адміністрація;77891;Управління у справах сімТї, молоді та спорту Деснянської районної в місті Київі державної адміністрації;28491;"Центр фізичного здоров""я населення ""Спорт для всіх""";0;3613511.92;5371617.26
53;27372;Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації);27372;Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації);48305;Голосіївський парк культури та відпочинку ім. М.Рильського;0;2355606;397899
54;25872;Служба у справах дітей та сім'ї виконавчого органу Київської міської ради (Київської міської державної адміністрації);53881;"Комунальна установа""Київський міський лівобережний центр для ВІЛ-інфікованих дітей та молоді""";53881;"Комунальна установа""Київський міський лівобережний центр для ВІЛ-інфікованих дітей та молоді""";0;1211147.8;1099723.9
55;48310;Департамент охорони здоров'я виконавчого органу Київської міської ради (Київської міської державної адміністрації);46512;"Комунальна організація ""Київмедспецтранс""";46512;"Комунальна організація ""Київмедспецтранс""";0;248636899.6;254284598.3
56;48310;Департамент охорони здоров'я виконавчого органу Київської міської ради (Київської міської державної адміністрації);27955;"Територіальне медичне об'єднання ""ФТИЗІАТРІЯ"" у місті Київі";54523;Київська міська туберкульозна лікарня № 2;0;29836817.66;31699479
57;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);99476;"Громадська організація ""Організація ветеранів контррозвідки Служби безпеки України у місті Київі ""Щит""";0;9570;0
58;38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);87099;"Орган самоорганізації населення ""Комітет мікрорайону ""Воскресенка""";0;187670.23;179970.23
59;77727;Солом'янська районна в місті Київі державна адміністрація;77916;"Управління житлово-комунального господарства та будівництва Солом""янської районної в місті Київі державної адміністрації";77916;"Управління житлово-комунального господарства та будівництва Солом""янської районної в місті Київі державної адміністрації";0;62886658;55597641.26
60;48310;Департамент охорони здоров'я виконавчого органу Київської міської ради (Київської міської державної адміністрації);48522;"Вищий навчальний заклад ""Київський медичний коледж ім.П.І.Гаврося""";48522;"Вищий навчальний заклад ""Київський медичний коледж ім.П.І.Гаврося""";0;13528128;17200342.48
61;27372;Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації);78170;"Коледж хореографічного мистецтва ""Київська муніципальна академія танцю імені Сержа Лифаря""";78170;"Коледж хореографічного мистецтва ""Київська муніципальна академія танцю імені Сержа Лифаря""";0;42846861.09;44511263.16
62;77766;Деснянська районна в місті Київі державна адміністрація;77927;Управління освіти Деснянської районної в місті Київі державної адміністрації;28834;"Комунальний заклад ""Вечірня (змінна) школа ІІ-III ступенів № 18"" Деснянського району міста Київа";0;4216820.61;4238288.33
63;77651;Дніпровська районна в місті Київі державна адміністрація;77922;Управління освіти Дніпровської районної в місті Київі державної адміністрації;35551;Дошкільний заклад освіти №628 Державного управління справами;0;4226368.95;4657313.18
64;27372;Департамент культури виконавчого органу Київської міської ради (Київської міської державної адміністрації);4547;Державна агенція промоції культури України;4547;Державна агенція промоції культури України;0;3056417.16;2841947.94
65;77607;Святошинська районна в місті Київі державна адміністрація;78077;Управління у справах сім'ї, молоді та спорту Святошинської районної в місті Київі державної адміністрації;63772;"Центр у справах сім'ї та жінок ""Родинний дім"" Святошинського району м.Київа";0;545916.48;545916.48
66;38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);32591;"Орган самоорганізації населення ""Комітет мікрорайону ""Пирогів""";0;199743.56;181034.55
67;48310;Департамент охорони здоров'я виконавчого органу Київської міської ради (Київської міської державної адміністрації);25156;Київська міська клінічна лікарня №1;25156;Київська міська клінічна лікарня №1;0;96541770.21;103092411.4
68;38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);91265;"Орган самоорганізації населення ""Будинковий комітет ""Харківське шосе, 21""";0;154945.39;145169.39
69;54084;Київська міська рада;54084;Київська міська рада;94157;"Громадська організація ""Прогресивний молодіжний рух""";0;690797.22;626072.67
70;28478;Департамент будівництва та житлового забезпечення виконавчого органу Київської міської ради (Київської міської державної адміністрації);28478;Департамент будівництва та житлового забезпечення виконавчого органу Київської міської ради (Київської міської державної адміністрації);31617;"Комунальне підприємство ""Інженерний центр"" Виконавчого органу Київської міської ради(КМДА)";0;232533880;196082165.6
71;54084;Київська міська рада;54084;Київська міська рада;88709;"ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""НОВІ ЗМІНИ""";0;1211331.36;1194747.22
72;77607;Святошинська районна в місті Київі державна адміністрація;77607;Святошинська районна в місті Київі державна адміністрація;96786;"Громадська організація ""Спілка ветеранів антитерористичної операції Святошинського району міста Київа""";0;60924.14;60924.14
73;77540;Голосіївська районна в місті Київі Державна адміністрація;77965;Управління житлово-комунального господарства Голосіївської районної  в місті Київі державної адміністрації;31521;"Комунальне підприємство ""Керуюча компанія з обслуговування житлового фонду Голосіївського району м.Київа""";0;24687330.57;24637430
74;77879;Оболонська районна в місті Київі державна адміністрація;19020;Оболонський районний в м.Київі центр соціальних служб для сім'ї, дітей та молоді;19020;Оболонський районний в м.Київі центр соціальних служб для сім'ї, дітей та молоді;0;10474960.77;12586450.68
75;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);96047;"Громадська організація ""Мистецький простір""";0;30000;30000
76;77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);77729;Департамент соціальної політики виконавчого органу Київської міської ради (Київської міської державної адміністрації);81964;"Громадська організація ""Товариство ветеранів розвідки Військово-Морського Флоту""";0;67438;67438
77;77766;Деснянська районна в місті Київі державна адміністрація;77927;Управління освіти Деснянської районної в місті Київі державної адміністрації;44201;Школа I ступеня № 311 Деснянського району міста Київа;0;6146755.99;6221778.16
78;38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);29031;"Комітет мікрорайону ""Рада мікрорайону Нивки"" Подільського району м.Київа";0;172167.71;162728.9
79;29161;Департамент освіти і науки, молоді та спорту виконавчого органу Київської міської ради (Київської міської державної адміністрації);24141;"Комунальний позашкільний навчальний заклад ""Київський центр дитячо-юнацького туризму, країзнавства та військово-патріотичного виховання""";24141;"Комунальний позашкільний навчальний заклад ""Київський центр дитячо-юнацького туризму, країзнавства та військово-патріотичного виховання""";0;6917318.99;7305900.4
80;24019;Департамент міського благоустрою та збереження природного середовища виконавчого органу Київськоі міської ради (КМДА);24019;Департамент міського благоустрою та збереження природного середовища виконавчого органу Київськоі міської ради (КМДА);53040;"Комунальне підприємство ""Київський міський будинок природи""";0;1145296.72;1088884.93
81;77540;Голосіївська районна в місті Київі Державна адміністрація;77934;Відділ у справах сім'ї, молоді та спорту Голосіївської районної в місті Київі державної адміністрації;22881;"Комплексна дитячо-юнацька спортивна школа  ""АРГО""";0;1194503;1165723.51
82;77680;Печерська районна в місті Київі державна адміністрація;90740;Управління освіти та інноваційного розвитку Печерської районної в місті Київі державної адміністрації;90740;Управління освіти та інноваційного розвитку Печерської районної в місті Київі державної адміністрації;0;312619795;322547513.7
83;38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);86836;"Орган самоорганізації населення ""БУДИНКОВИЙ КОМІТЕТ ""ВУЛИЦЯ ЗОДЧИХ, 60/1""";0;154898.82;154798.81
84;77879;Оболонська районна в місті Київі державна адміністрація;77906;Управління праці та соціального захисту населення Оболонської районної в місті Київі державної адміністрації;29705;Територіальний центр соціального обслуговування (надання соціальних послуг) Оболонського району м.Київа;0;10497251.54;10564168.8
85;38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);38348;Департамент суспільних комунікацій виконавчого органу Київської міської ради(Київської міської державної адміністрації);83574;"Орган самоорганізації населення ""Комітет мікрорайону ""Нижні Бортничі""";0;190476.89;182856.55
86;77766;Деснянська районна в місті Київі державна адміністрація;77883;"Управління охорони здоров""я Деснянської районної в місті Київі державної адміністрації";77883;"Управління охорони здоров""я Деснянської районної в місті Київі державної адміністрації";0;6487293.43;5185643.74
87;77651;Дніпровська районна в місті Київі державна адміністрація;77897;Управління житлово-комунального господарства Дніпровської районної в місті Київі державної адміністрації;1906;"ЖИТЛОВО-БУДІВЕЛЬНИЙ КООПЕРАТИВ ""Конструктор-2""";0;199438;199438
88;28478;Департамент будівництва та житлового забезпечення виконавчого органу Київської міської ради (Київської міської державної адміністрації);28478;Департамент будівництва та житлового забезпечення виконавчого органу Київської міської ради (Київської міської державної адміністрації);49616;"Комунальне підприємство з питань будівництва житлових будинків ""Житлоінвестбуд-УКБ""";0;567712911.1;549827986.5
